Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4
Tracks 1 to 4
1	63.702274	63.756435	 	77.90351	73.85965	 	 	 	 	 	 	 
2	63.74678	63.75672	 	77.7243	74.21963	 	 	 	 	 	 	 
3	63.794617	63.751408	 	77.49048	73.85238	 	 	 	 	 	 	 
4	63.742622	63.76457	 	77.59174	73.98624	 	 	 	 	 	 	 
5	63.71259	63.7403	 	76.27778	73.74691	 	 	 	 	 	 	 
6	63.74856	63.75244	 	75.680855	74.02128	 	 	 	 	 	 	 
7	63.736652	63.730522	 	76.45192	74.69231	 	 	 	 	 	 	 
8	63.760555	63.730797	 	76.23077	74.68269	 	 	 	 	 	 	 
9	63.76744	63.709904	 	76.06604	74.95283	 	 	 	 	 	 	 
10	63.77834	63.713776	 	76.04902	75.57843	 	 	 	 	 	 	 
11	63.76489	63.715424	 	76.349464	75.231186	 	 	 	 	 	 	 
12	63.7411	63.75086	 	76.5	74.20909	 	 	 	 	 	 	 
13	63.730755	63.735455	 	76.833336	73.70588	 	 	 	 	 	 	 
14	63.709187	63.753735	 	77.22	72.96	 	 	 	 	 	 	 
15	63.76982	63.770264	 	76.90952	72.13809	 	 	 	 	 	 	 
16	66.49619	61.385044	 	76.66129	72.06989	 	 	 	 	 	 	 
17	63.999172	63.558666	 	76.65842	72.19307	 	 	 	 	 	 	 
18	63.779083	63.698593	 	77.32758	72.81035	 	 	 	 	 	 	 
19	63.729073	63.7302	 	77.49	72.91	 	 	 	 	 	 	 
20	63.767605	63.740215	 	78.318184	72.70202	 	 	 	 	 	 	 
21	63.69261	63.769257	 	78.32609	72.41304	 	 	 	 	 	 	 
22	63.68455	63.79719	 	78.041176	70.73529	 	 	 	 	 	 	 
23	63.774605	63.795757	 	76.52198	69.78571	 	 	 	 	 	 	 
24	63.93167	63.712643	 	75.68812	70.25247	 	 	 	 	 	 	 
25	63.808125	63.82775	 	75.96364	70.527275	 	 	 	 	 	 	 
26	63.796764	63.8215	 	75.64423	70.44231	 	 	 	 	 	 	 
27	63.762054	63.83	 	75.625	70.833336	 	 	 	 	 	 	 
28	63.78544	63.817783	 	75.625	71.40179	 	 	 	 	 	 	 
29	63.790257	63.802444	 	75.385414	72.114586	 	 	 	 	 	 	 
30	63.77869	63.804276	 	74.46191	73.14762	 	 	 	 	 	 	 
31	63.811344	63.7941	 	74.23913	73.69131	 	 	 	 	 	 	 
32	63.78304	63.800274	 	74.696075	73.5098	 	 	 	 	 	 	 
33	63.75947	63.777603	 	74.52041	73.234695	 	 	 	 	 	 	 
34	63.850086	63.7601	 	73.935646	72.5198	 	 	 	 	 	 	 
35	63.860455	63.704227	 	74.47143	71.9	 	 	 	 	 	 	 
36	63.858562	63.73127	 	73.9086	71.48925	 	 	 	 	 	 	 
37	66.86337	61.43518	 	74.12195	70.42683	 	 	 	 	 	 	 
38	63.941227	63.7227	 	73.94	69.22	 	 	 	 	 	 	 
39	67.47165	61.364193	 	73.6573	68.994385	 	 	 	 	 	 	 
40	63.863132	63.81391	 	73.378784	69.752525	 	 	 	 	 	 	 
41	63.87477	63.818436	 	72.98913	69.51087	 	 	 	 	 	 	 
42	63.966946	63.789005	 	71.60227	68.48864	*	 	 	 	 	 	 
43	63.968414	63.8383	*	69.9433	68.33505	*	 	 	 	 	 	 
44	64.06269	63.793667	*	69.289474	67.79474	*	 	 	 	 	 	 
45	64.037964	63.81619	*	68.67778	66.62222	*	 	 	 	 	 	 
46	66.96725	61.42959	*	67.59638	66.018074	*	 	 	 	 	 	 
47	66.75316	61.59447	*	66.11905	66.40476	*	 	 	 	 	 	 
48	67.98785	61.172535	*	65.39011	67.03846	*	 	 	 	 	 	 
49	64.16113	63.82527	*	 	 	 	 	 	 	 	 	 
50	66.89184	61.404587	 	 	 	 	65.744446	67.744446	*	 	 	 
51	66.89471	61.57231	*	 	 	 	64.803795	67.955696	*	 	 	 
52	67.16358	61.03035	*	 	 	 	63.98936	67.8617	*	 	 	 
53	66.97538	61.532356	*	 	 	 	63.522728	67.443184	*	 	 	 
54	67.452156	60.98408	*	 	 	 	64.01724	66.95977	*	 	 	 
55	67.544785	60.83104	*	 	 	 	65.01111	66.611115	*	 	 	 
56	67.24985	60.830276	*	 	 	 	66.02	66.43	*	 	 	 
57	67.25302	61.309093	*	 	 	 	65.81183	67.17742	*	 	 	 
58	66.63985	61.242847	*	 	 	 	65.44949	67.27778	*	 	 	 
59	67.68356	60.657825	*	 	 	 	65.23256	67.9186	*	 	 	 
60	67.3363	60.98429	*	 	 	 	65.47938	68.08763	*	 	 	 
61	67.39425	60.932285	*	 	 	 	64.90426	69.71277	*	 	 	 
62	67.85387	60.48359	*	 	 	 	64.57143	69.54762	*	 	 	 
63	66.84925	61.419792	*	 	 	 	64.474686	69.99367	 	 	 	 
64	67.351715	60.895218	*	 	 	 	65.065216	70.347824	*	 	 	 
65	67.66321	60.654163	 	 	 	 	65.764366	70.87931	 	 	 	 
66	67.17149	61.004456	*	 	 	 	65.543015	71.87634	 	 	 	 
67	67.06588	60.68308	 	 	 	 	66.166664	72.104935	 	 	 	 
68	66.63008	61.40863	 	 	 	 	66.343376	72.69277	 	 	 	 
69	64.26221	63.52744	*	 	 	 	66.107475	73.02336	 	 	 	 
70	64.03938	63.65972	*	 	 	 	66.97253	73.55495	 	 	 	 
71	64.195274	63.52478	 	 	 	 	67.12	73.99	 	 	 	 
72	67.38348	60.788548	 	 	 	 	66.798965	74.15979	 	 	 	 
73	63.984936	63.730167	 	 	 	 	67.08696	73.315216	 	 	 	 
74	67.31168	60.814236	 	 	 	 	67.10215	72.349464	*	 	 	 
75	64.06849	63.71761	*	 	 	 	66.5	72.03608	 	 	 	 
76	66.95694	60.986267	 	 	 	 	65.55495	71.98351	*	 	 	 
77	64.08265	63.739674	*	 	 	 	65.69802	71.60891	 	 	 	 
78	64.13622	63.676563	*	 	 	 	66.27228	71.81683	*	 	 	 
79	64.22468	63.58559	*	 	 	 	66.44	71.88	*	 	 	 
80	67.12214	60.901855	 	 	 	 	67.08696	71.03261	*	 	 	 
81	64.11375	63.698387	*	 	 	 	67.31443	71.396904	 	 	 	 
82	64.12618	63.65454	*	 	 	 	67.061905	72.290474	*	 	 	 
83	67.16008	61.23864	 	 	 	 	67.40804	72.04023	*	 	 	 
84	64.047195	63.696655	*	 	 	 	67.052086	72.322914	 	 	 	 
85	64.03736	63.740154	*	 	 	 	67.229164	72.364586	*	 	 	 
86	67.16051	60.809326	 	 	 	 	67.139175	72.03608	*	 	 	 
87	67.08205	61.393585	 	 	 	 	67.47701	71.764366	 	 	 	 
88	67.62888	60.69319	 	 	 	 	68.239586	71.104164	*	 	 	 
89	66.95369	61.363483	*	 	 	 	69.0814	71.0	 	 	 	 
90	67.13383	61.10679	 	 	 	 	69.4	70.27	*	 	 	 
91	66.711334	61.053307	*	 	 	 	69.86144	70.60844	*	 	 	 
92	64.06202	63.687527	*	 	 	 	 	 	 	 	 	 
93	64.07423	63.672405	 	 	 	 	 	 	 	 	 	 
94	66.79865	61.311783	 	 	 	 	 	 	 	70.27907	76.11628	 
95	66.76734	60.91452	 	 	 	 	 	 	 	70.931816	76.931816	 
96	66.978546	60.18421	 	 	 	 	 	 	 	71.2579	77.63684	 
97	67.27534	60.54087	 	 	 	 	 	 	 	71.758064	77.951614	 
98	67.10667	60.65723	 	 	 	 	 	 	 	71.18965	78.235634	 
99	67.00735	60.86288	 	 	 	 	 	 	 	69.75	79.059525	 
100	67.25516	60.236645	 	 	 	 	 	 	 	68.953606	78.9433	 
101	67.218445	60.563854	 	 	 	 	 	 	 	68.639786	78.81183	 
102	67.07094	60.95475	 	 	 	 	 	 	 	67.981926	79.37952	 
103	67.35718	60.413605	 	 	 	 	 	 	 	66.90426	80.010635	 
104	67.32848	60.57318	 	 	 	 	 	 	 	67.11224	80.54082	 
105	67.08376	60.643066	 	 	 	 	 	 	 	67.32222	80.888885	 
106	67.282265	60.228462	 	 	 	 	 	 	 	66.76316	81.710526	 
107	66.84055	60.778996	 	 	 	 	 	 	 	67.598595	82.41549	 
108	67.33256	60.51536	 	 	 	 	 	 	 	68.0567	82.87113	 
109	66.93626	60.55583	 	 	 	 	 	 	 	68.131065	82.29612	 
110	67.40298	60.64136	 	 	 	 	 	 	 	67.85107	81.96809	 
111	67.35249	60.940826	 	 	 	 	 	 	 	67.89	81.86	 
112	67.652054	60.40705	 	 	 	 	 	 	 	68.322914	81.65625	 
113	67.241905	60.641453	 	 	 	 	 	 	 	68.14	81.61	 
114	67.27632	60.62856	 	 	 	 	 	 	 	68.66327	80.86735	 
115	66.76531	60.745094	 	 	 	 	 	 	 	68.48039	81.22549	 
116	67.648506	60.46117	 	 	 	 	 	 	 	69.360466	81.209305	 
117	67.77188	60.518715	 	 	 	 	 	 	 	69.97312	80.93011	 
118	67.52793	60.548016	 	 	 	 	 	 	 	69.82258	81.33871	 
119	64.177895	63.37462	 	 	 	 	 	 	 	68.9433	80.87113	 
120	64.162155	63.43609	 	 	 	 	 	 	 	68.72772	81.153465	 
121	66.65642	60.67469	 	 	 	 	 	 	 	69.60227	81.65909	 
122	64.12694	63.297054	 	 	 	 	 	 	 	69.91584	82.4406	 
123	63.976463	63.452423	 	 	 	 	 	 	 	69.78319	82.5354	 
124	63.98935	63.463696	 	 	 	 	 	 	 	69.96316	81.857895	 
125	66.85517	60.911568	 	 	 	 	 	 	 	70.790695	81.72093	 
126	64.03106	63.419888	 	 	 	 	 	 	 	70.145836	81.927086	 
127	66.79315	61.184814	 	 	 	 	 	 	 	69.73656	82.02688	 
128	67.15856	61.009575	 	 	 	 	 	 	 	70.01685	82.095505	 
