Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8
Tracks 1 to 8
1	63.474586	63.586346	 	86.97312	70.42473	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	63.46017	63.75366	 	87.64286	70.38095	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	63.45989	63.743923	 	88.614586	69.9375	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
4	63.435764	63.780727	 	89.0977	70.24712	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
5	63.43675	63.83117	 	89.02941	69.87647	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
6	63.46086	63.86408	 	88.583336	68.809525	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
7	63.49059	63.82382	 	88.44444	68.166664	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
8	63.48157	63.90188	 	88.891304	67.61957	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
9	63.46217	63.891376	 	89.56977	67.093025	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10	63.425632	63.883617	 	90.803795	67.33544	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11	63.4272	63.854713	 	91.51099	67.56593	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
12	63.440495	63.849926	 	91.360214	67.1129	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
13	63.41467	63.87597	 	90.40909	66.92857	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
14	63.443443	63.88654	 	89.53571	66.22619	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
15	63.453655	63.805523	 	89.142105	65.20526	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
16	63.44957	63.780376	 	88.55556	64.82222	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
17	63.464123	63.8979	 	88.46342	64.18293	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18	63.491	63.89316	 	88.551544	63.25258	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
19	63.45196	63.74942	 	88.489365	62.946808	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
20	63.55702	63.8281	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21	63.44308	63.87532	 	 	 	 	88.333336	64.09375	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
22	63.481125	63.878937	 	 	 	 	87.80337	64.79214	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
23	63.499313	63.837666	 	 	 	 	87.4898	65.27551	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
24	63.42761	63.885696	 	 	 	 	88.39333	65.66	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
25	63.460045	63.70498	 	 	 	 	88.84091	65.97727	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
26	63.445	63.91803	 	 	 	 	87.513885	65.513885	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
27	63.52988	63.94145	 	 	 	 	86.60526	65.37369	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28	63.50006	63.94816	 	 	 	 	85.94	64.833336	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
29	63.564938	63.925217	 	 	 	 	84.543015	64.01613	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
30	63.477695	63.90787	 	 	 	 	85.44118	64.47059	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31	63.47927	63.891632	 	 	 	 	87.59638	64.921684	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
32	63.51946	63.89813	 	 	 	 	87.82222	65.31111	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
33	63.51701	63.91726	 	 	 	 	87.56593	65.34615	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
34	63.507668	63.91081	 	 	 	 	87.42771	65.8253	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
35	63.513336	63.886826	 	 	 	 	87.08696	66.771736	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
36	63.469868	63.852154	 	 	 	 	87.39655	67.68391	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
37	63.46912	63.815186	 	 	 	 	86.68421	67.67105	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38	63.53155	63.863075	 	 	 	 	86.06383	67.585106	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
39	63.540432	63.86328	 	 	 	 	85.94	68.29	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
40	63.52742	63.844757	 	 	 	 	85.67021	68.76596	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41	63.48558	63.84172	 	 	 	 	86.4125	68.425	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
42	63.51946	63.855183	 	 	 	 	86.55495	67.42308	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
43	63.535046	63.87663	 	 	 	 	85.80928	67.18041	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
44	63.510983	63.864136	 	 	 	 	85.797874	66.723404	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
45	63.493385	63.85488	 	 	 	 	86.20731	67.231705	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
46	63.46771	63.845264	 	 	 	 	87.32667	67.80666	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
47	63.482952	63.82145	 	 	 	 	88.095505	67.185394	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48	63.45952	63.839268	 	 	 	 	87.104935	66.57407	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
49	63.527454	63.877674	 	 	 	 	86.03261	65.597824	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
50	63.512497	63.82769	 	 	 	 	86.12353	66.26471	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51	63.544464	63.854847	 	 	 	 	85.573685	67.15263	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
52	63.54154	63.90304	 	 	 	 	85.113335	66.433334	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
53	63.55208	63.940063	 	 	 	 	83.97619	65.07143	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
54	63.564148	63.860023	 	 	 	 	83.634834	64.79214	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
55	63.53209	63.896618	 	 	 	 	84.63253	65.27109	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
